titulo,url
Analista de Cultura y Gobierno de Datos,https://www.bumeran.com.pe/empleos/analista-de-cultura-y-gobierno-de-datos-prestamype-1118021029.html
Analista de Datos y Control de la Producción - Huacho,https://www.bumeran.com.pe/empleos/analista-de-datos-y-control-de-la-produccion-huacho-redondos-s.a.-1118023190.html
